cascao_id,pac_id,pac_estado
173267,168758,programa-completo
173300,168791,programa-completo
173687,169176,caso-nuevo
173691,169180,programa-completo
173704,169193,programa-completo
173711,169200,programa-completo
173724,169213,programa-completo
173732,169221,caso-nuevo
173772,169261,programa-completo
173800,169289,programa-completo
173827,169316,programa-activo
173854,169343,programa-completo
173879,169368,programa-completo
173920,169409,programa-completo
173944,169433,programa-completo
173960,169449,programa-completo
174013,169500,programa-completo
174029,169516,programa-activo
174242,169726,programa-completo
174244,169728,programa-completo
174245,169729,programa-activo
174248,169732,programa-completo
174255,169739,programa-completo
174505,169924,programa-completo
174533,169952,caso-nuevo
174633,170050,programa-completo
174972,170389,programa-completo
174973,170390,rechazado-mmgyd
174974,170391,programa-completo
174977,170394,programa-completo
174996,170413,programa-completo
175212,170596,programa-completo
175234,170617,programa-completo
175270,170653,programa-completo
175317,170698,programa-completo
175407,170788,programa-completo
175725,171106,programa-completo
175726,171107,caso-nuevo
175728,171109,programa-completo
175732,171113,programa-activo
175739,171120,programa-completo
175777,171146,programa-completo
175811,171166,programa-completo
176016,171353,programa-completo
176069,171395,programa-completo
176139,171453,programa-completo
176167,171481,programa-completo
176197,171509,programa-completo
176214,171526,programa-completo
176503,171813,programa-completo
176504,171814,programa-completo
176507,171817,programa-completo
176509,171819,programa-completo
176514,171824,programa-completo
176521,171831,programa-completo
176529,171839,programa-completo
176544,171854,caso-nuevo
176615,171910,caso-nuevo
176676,171970,programa-completo
176732,172026,programa-completo
176766,172060,programa-completo
176849,172143,programa-completo
176878,172172,programa-completo
176973,172264,programa-completo
177418,172683,programa-completo
177420,172685,programa-completo
177451,172716,programa-completo
177469,172733,programa-completo
177494,172757,programa-completo
177531,172787,programa-completo
177592,172837,programa-completo
177649,172892,caso-nuevo
177730,172973,programa-completo
177767,173010,programa-completo
177820,173063,programa-completo
177888,173129,programa-completo
178164,173377,programa-completo
178173,173386,programa-completo
178183,173396,programa-completo
178217,173414,programa-completo
178254,173435,programa-completo
178288,173458,programa-completo
178327,173497,programa-completo
178424,173594,programa-completo
178456,173626,programa-completo
178571,173741,programa-completo
178610,173780,programa-completo
178630,173800,programa-completo
178919,174061,programa-completo
178923,174065,programa-completo
178928,174070,programa-completo
178933,174075,programa-completo
178983,174116,programa-completo
179040,174169,programa-completo
